relation,count
lwg__psp,74273
nmod__adj,28615
rsym,23398
pof__cn,22548
k1,22243
ccof,20649
r6,19339
k2,16858
main,16630
lwg__vaux,15809
pof,13661
k7,10304
k7t,7388
lwg__vaux_cont,6689
nmod,6044
k7p,5277
lwg__rp,4794
vmod,4060
k1s,2928
r6-k2,2853
mod,2630
k4,2510
rt,2458
adv,2175
lwg__neg,2164
rs,1681
rh,1446
k5,1424
nmod__k1inv,1348
nmod__relc,1173
jjmod,1129
k7a,868
ras-k1,785
k3,595
r6-k1,555
k2p,508
k2s,489
sent-adv,454
k4a,437
nmod__k2inv,402
jjmod__intf,380
rd,338
fragof,338
pof__redup,227
ras-k2,202
rsp,158
k1u,110
ras-neg,76
mod__wq,70
nmod__emph,50
k2u,49
k2g,42
rbmod,41
rbmod__relc,32
r6v,25
nmod__pofinv,18
ras-k7,12
k7u,12
jk1,10
ras-pof,8
pk1,8
rad,7
ras-k7p,6
ras-k4,6
k7pu,6
k7tu,4
psp__cl,4
undef,3
ras-r6,3
ras-r6-k2,2
enm,2
ras__k7,2
pof__inv,1
k3u,1
mk1,1
k4u,1
ras-rt,1
rtu,1
vmod__adv,1
