diagnostic_flag,summary_type,label,count,notes
possible_passive_karta,totals,total_flagged_rows,1546,
possible_passive_karta,totals,matched_gold_rows,1004,
possible_passive_karta,totals,unmatched_flagged_rows,542,
possible_passive_karta,gold_karaka_distribution,Karma,900,
possible_passive_karta,gold_karaka_distribution,Karta,61,
possible_passive_karta,gold_karaka_distribution,Sampradana,31,
possible_passive_karta,gold_karaka_distribution,Adhikarana,9,
possible_passive_karta,gold_karaka_distribution,Apadana,2,
possible_passive_karta,gold_karaka_distribution,Karana,1,
possible_passive_karta,deprel_distribution,obj,1546,
possible_passive_karta,case_marker_distribution,(blank),1175,
possible_passive_karta,case_marker_distribution,को,325,
possible_passive_karta,case_marker_distribution,से,32,
possible_passive_karta,case_marker_distribution,में,7,
possible_passive_karta,case_marker_distribution,के,3,
possible_passive_karta,case_marker_distribution,का,1,
possible_passive_karta,case_marker_distribution,की,1,
possible_passive_karta,case_marker_distribution,दूर,1,
possible_passive_karta,case_marker_distribution,साथ,1,
possible_passive_karta,final_candidates_distribution,Karma,1221,
possible_passive_karta,final_candidates_distribution,Karma|Sampradāna,325,
possible_passive_karta,passive_lexical_indicator,गया,173,
possible_passive_karta,passive_lexical_indicator,गई,104,
possible_passive_karta,passive_lexical_indicator,गए,67,
possible_passive_karta,passive_lexical_indicator,किया गया,43,
possible_passive_karta,passive_lexical_indicator,की गई,38,
possible_passive_karta,passive_lexical_indicator,जाता,36,
possible_passive_karta,passive_lexical_indicator,जाती,12,
possible_passive_karta,passive_lexical_indicator,जाते,7,
possible_passive_karta,correction_opportunity_estimate,dominant_gold_karaka,900,Karma; incorrect_if_converted=104
possible_passive_karta,conclusion,PROMISING,1004,Based on dominant-gold conversion estimate among matched gold rows. No rule implemented.
possible_passive_karma,totals,total_flagged_rows,2109,
possible_passive_karma,totals,matched_gold_rows,1886,
possible_passive_karma,totals,unmatched_flagged_rows,223,
possible_passive_karma,gold_karaka_distribution,Karta,1812,
possible_passive_karma,gold_karaka_distribution,Karma,54,
possible_passive_karma,gold_karaka_distribution,Sampradana,15,
possible_passive_karma,gold_karaka_distribution,Adhikarana,3,
possible_passive_karma,gold_karaka_distribution,Karana,2,
possible_passive_karma,deprel_distribution,nsubj,2109,
possible_passive_karma,case_marker_distribution,(blank),1417,
possible_passive_karma,case_marker_distribution,ने,560,
possible_passive_karma,case_marker_distribution,को,63,
possible_passive_karma,case_marker_distribution,का,34,
possible_passive_karma,case_marker_distribution,के,17,
possible_passive_karma,case_marker_distribution,द्वारा,16,
possible_passive_karma,case_marker_distribution,की,1,
possible_passive_karma,case_marker_distribution,में,1,
possible_passive_karma,final_candidates_distribution,Kartā,2109,
possible_passive_karma,passive_lexical_indicator,गया,112,
possible_passive_karma,passive_lexical_indicator,गई,81,
possible_passive_karma,passive_lexical_indicator,गए,72,
possible_passive_karma,passive_lexical_indicator,की गई,23,
possible_passive_karma,passive_lexical_indicator,जाता,20,
possible_passive_karma,passive_lexical_indicator,किया गया,14,
possible_passive_karma,passive_lexical_indicator,जाते,9,
possible_passive_karma,passive_lexical_indicator,जाती,9,
possible_passive_karma,correction_opportunity_estimate,dominant_gold_karaka,1812,Karta; incorrect_if_converted=74
possible_passive_karma,conclusion,SAFE,1886,Based on dominant-gold conversion estimate among matched gold rows. No rule implemented.
