system,mode,metric_scope,karaka,support,tp,fp,fn,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1
neural_only,candidate_set,overall,ALL,47378,37265,,,0.7865,,,,0.6355,0.8236,0.6023
neural_only,candidate_set,per_karaka,Karta,17940,15108,321,2832,,0.9792,0.8421,0.9055,,,
neural_only,candidate_set,per_karaka,Karma,13403,8349,613,5054,,0.9316,0.6229,0.7466,,,
neural_only,candidate_set,per_karaka,Karana,482,433,11959,49,,0.0349,0.8983,0.0672,,,
neural_only,candidate_set,per_karaka,Sampradana,1989,1699,137,290,,0.9254,0.8542,0.8884,,,
neural_only,candidate_set,per_karaka,Apadana,1128,974,11418,154,,0.0786,0.8635,0.1441,,,
neural_only,candidate_set,per_karaka,Adhikarana,12436,10702,1690,1734,,0.8636,0.8606,0.8621,,,
neural_only,strict,overall,ALL,47378,25156,,,0.531,,,,0.4727,0.3865,0.4234
neural_only,strict,per_karaka,Karta,17940,15108,321,2832,,0.9792,0.8421,0.9055,,,
neural_only,strict,per_karaka,Karma,13403,8349,613,5054,,0.9316,0.6229,0.7466,,,
neural_only,strict,per_karaka,Karana,482,0,0,482,,0.0,0.0,0.0,,,
neural_only,strict,per_karaka,Sampradana,1989,1699,137,290,,0.9254,0.8542,0.8884,,,
neural_only,strict,per_karaka,Apadana,1128,0,0,1128,,0.0,0.0,0.0,,,
neural_only,strict,per_karaka,Adhikarana,12436,0,0,12436,,0.0,0.0,0.0,,,
verifier_v1,candidate_set,overall,ALL,47378,37256,,,0.7864,,,,0.5816,0.8246,0.6023
verifier_v1,candidate_set,per_karaka,Karta,17940,15108,321,2832,,0.9792,0.8421,0.9055,,,
verifier_v1,candidate_set,per_karaka,Karma,13403,8412,1864,4991,,0.8186,0.6276,0.7105,,,
verifier_v1,candidate_set,per_karaka,Karana,482,433,3745,49,,0.1036,0.8983,0.1858,,,
verifier_v1,candidate_set,per_karaka,Sampradana,1989,1773,2641,216,,0.4017,0.8914,0.5538,,,
verifier_v1,candidate_set,per_karaka,Apadana,1128,944,3234,184,,0.2259,0.8369,0.3558,,,
verifier_v1,candidate_set,per_karaka,Adhikarana,12436,10586,434,1850,,0.9606,0.8512,0.9026,,,
verifier_v1,strict,overall,ALL,47378,29656,,,0.6259,,,,0.6343,0.3629,0.4451
verifier_v1,strict,per_karaka,Karta,17940,15108,321,2832,,0.9792,0.8421,0.9055,,,
verifier_v1,strict,per_karaka,Karma,13403,5928,456,7475,,0.9286,0.4423,0.5992,,,
verifier_v1,strict,per_karaka,Karana,482,0,0,482,,0.0,0.0,0.0,,,
verifier_v1,strict,per_karaka,Sampradana,1989,473,49,1516,,0.9061,0.2378,0.3767,,,
verifier_v1,strict,per_karaka,Apadana,1128,0,0,1128,,0.0,0.0,0.0,,,
verifier_v1,strict,per_karaka,Adhikarana,12436,8147,67,4289,,0.9918,0.6551,0.789,,,
correction_v2,candidate_set,overall,ALL,47378,37921,,,0.8004,,,,0.5818,0.8335,0.6073
correction_v2,candidate_set,per_karaka,Karta,17940,15108,321,2832,,0.9792,0.8421,0.9055,,,
correction_v2,candidate_set,per_karaka,Karma,13403,8412,1864,4991,,0.8186,0.6276,0.7105,,,
correction_v2,candidate_set,per_karaka,Karana,482,433,3745,49,,0.1036,0.8983,0.1858,,,
correction_v2,candidate_set,per_karaka,Sampradana,1989,1773,2641,216,,0.4017,0.8914,0.5538,,,
correction_v2,candidate_set,per_karaka,Apadana,1128,944,3234,184,,0.2259,0.8369,0.3558,,,
correction_v2,candidate_set,per_karaka,Adhikarana,12436,11251,443,1185,,0.9621,0.9047,0.9325,,,
correction_v2,strict,overall,ALL,47378,30321,,,0.64,,,,0.6342,0.3718,0.4513
correction_v2,strict,per_karaka,Karta,17940,15108,321,2832,,0.9792,0.8421,0.9055,,,
correction_v2,strict,per_karaka,Karma,13403,5928,456,7475,,0.9286,0.4423,0.5992,,,
correction_v2,strict,per_karaka,Karana,482,0,0,482,,0.0,0.0,0.0,,,
correction_v2,strict,per_karaka,Sampradana,1989,473,49,1516,,0.9061,0.2378,0.3767,,,
correction_v2,strict,per_karaka,Apadana,1128,0,0,1128,,0.0,0.0,0.0,,,
correction_v2,strict,per_karaka,Adhikarana,12436,8812,76,3624,,0.9914,0.7086,0.8265,,,
